"Portland, Oregon Daily Bike Estimates, 2000-2018 (based on 2-hour peak counts)",,,,,,,,,,,,,,,,,,,,,,
Sector,Site #,Location,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,prior to 2000
northeast,130,NE Tillamook & 28th,"1,130","1,370","1,660","1,590","1,490","1,645","1,685","1,440","1,425","1,490",-,-,-,-,-,-,-,-,-,-
northeast,131,NE Prescott & Cully,335,390,335,435,315,225,480,290,-,180,360,-,-,-,-,-,-,-,-,-
northeast,132,NE Tillamook & 74th,510,,565,430,505,425,530,455,350,240,320,-,-,-,-,-,-,-,-,-
east,133,NE Airport Wy & I-205 path,190,295,-,475,-,345,455,585,355,510,445,-,-,-,-,-,-,-,-,-
southwest,134,SW Troy & Capitol Hill,40,70,30,75,70,65,60,80,75,90,110,-,-,-,-,-,-,-,-,-
east,135,NE Maywood Place & I-205 Path,265,265,310,295,270,290,295,280,150,260,205,-,-,-,-,-,-,-,-,-
east,136,E Burnside & I-205 path,595,710,-,655,830,430,750,-,580,465,450,-,-,-,-,-,-,-,-,-
southeast,138,SE Milwaukie & Mitchell,520,700,485,645,680,775,-,755,890,635,765,-,-,-,-,-,-,-,-,-
east,140,SE Division & 96th Dr,145,125,165,180,205,155,195,195,160,170,215,-,-,-,-,-,-,-,-,-
east,141,SE Division & 122nd,175,,255,290,330,500,370,-,360,185,275,-,-,-,-,-,-,-,-,-
east,142,SE Powell & 122nd,180,200,150,240,-,285,345,235,270,215,325,-,-,-,-,-,-,-,-,-
east,143,SE Powell & 162nd,50,,100,-,105,135,120,-,80,215,160,-,-,-,-,-,-,-,-,-
southwest,144,SW Humphrey & Patton,365,200,355,170,350,305,545,480,435,350,370,-,235,-,-,-,-,-,-,-
southwest,145,SW Terwilliger & Westwood,835,765,730,925,775,865,710,965,905,730,-,-,-,-,-,-,-,-,-,-
city center,146,SW Broadway & Montgomery,405,385,540,"1,050",870,-,"1,180","1,300","1,010","1,075",-,-,-,-,-,-,-,-,-,-
city center,147,SW Stark & 9th,750,730,"1,080","1,120",840,960,785,755,-,-,-,-,-,-,-,-,-,-,-,-
city center,148,SW Park & Oak,580,870,785,805,710,755,775,760,645,-,-,-,-,-,-,-,-,-,-,-
southeast,149,SE Center & 52nd,700,660,745,655,330,415,450,-,280,355,-,-,-,-,-,-,-,-,-,-
east,150,SE Holgate & 112th,75,140,165,155,205,215,210,150,165,220,-,-,-,-,-,-,-,-,-,-
